id,created_at,start_at,end_at,address,title,dao_name,author_address,token_address,network_name,token_symbol,vote_start_at
81,2022-08-05 08:40:55.562+00,2022-08-05 08:45:00+00,2022-08-09 08:39:00+00,0x4ce325aE9C45AA07ba7466D7a8EA4c8cB2217bd7,What should be the text for the Pulse survey?,,0x8B580433568E521ad351b92b98150c0C65ce69B7,0x050B9a9A367919a5E2F0AaDF02E9491debc1346E,goerli,CHtestT,2022-08-08 08:39:00+00
82,2022-08-06 06:26:09.003+00,2022-08-06 06:20:00+00,2022-08-06 07:30:00+00,0xfBD812f6A17983654cF3b9B7d69f8Eb042964386,Test Contest,,0xF68B75C16B140EF5258132999E2B9692ECbcf819,0x24ccB9A51Ff4A6A53c7cFAa3505d33757AD979f1,ropsten,test,2022-08-06 06:30:00+00
83,2022-08-07 11:19:31.807+00,2022-08-07 11:27:00+00,2022-08-14 12:00:00+00,0x1be62fDB112e8B0E51b7D1437d8847E97C7c520a,ENS will be to the 100$ right?,,0x3082f27581a2449268a14aF56D810cACD9984EC1,0x9aa2bb1ee75ea36232d51005d1f3eb96024fc53a,polygon,SENS,2022-08-08 12:00:00+00
84,2022-08-10 03:39:32.624+00,2022-08-10 03:44:00+00,2022-08-17 17:00:00+00,0x8945975041E930f37b15fe4467710a393A5fa87f,Which guests would you like to hear on Season 3 of Rehash: A Web3 Podcast?,,0xcEd09CCFc82b091195bdE04E6Cd65374518E7b95,0xB121834BC65bEAab2A79fE7C39efd2D0816b7007,ethereum,HASHS3,2022-08-10 17:00:00+00
85,2022-08-10 04:33:19.878+00,2022-08-10 04:32:00+00,2022-08-17 17:00:00+00,0x2bd5ec55DDA12B88F80e369b528dB58E8754D099,Which guests would you like to hear on Season 3 of Rehash: A Web3 Podcast?,,0xcEd09CCFc82b091195bdE04E6Cd65374518E7b95,0x41e89099dF45FE89d0a5A53969F36FaC6B85886c,polygon,PODVOT3,2022-08-10 17:00:00+00
86,2022-08-11 09:18:34.677+00,2022-08-11 09:26:00+00,2022-08-12 16:30:00+00,0x1386d685AB184Db898afE519e94f5C3C5990436F,jokerace 24: guild edition,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x14E32b08cCf9A2E7906187Db72Cbc6f00A39Ad3a,polygon,joke24,2022-08-12 16:00:00+00
87,2022-08-11 21:09:11.868+00,2022-08-11 21:10:00+00,2022-08-13 21:08:00+00,0xb04EBD9f74bEBa9D29406205269f7205a0bCDc9d,testgif,,0x5b45e296C06ab3dAD836BCBc0fBd7a4b75b83C02,0x26198ded28cf36f96a7ae5f9efa29d19434da42d,polygon,test,2022-08-12 21:08:00+00
88,2022-08-13 05:48:38.516+00,2022-08-17 05:57:00+00,2022-08-31 05:48:00+00,0x0D1A95a00071C7b2A7fba837023d74b27585b78C,Up and coming DAO Talk podcast guest,,0x226F6423E97BCD17548d7420BA9Ff7f300C2d74d,0x0Ff61384763Ec1663602B33e4E5Fe8cfEe2D0a12,polygon,DT,2022-08-24 05:48:00+00
89,2022-08-16 14:19:46.929+00,2022-08-16 14:26:00+00,2022-08-17 02:30:00+00,0x7d90175EBEF76411123dAc36EB429337cc8Db043,Super hero contest,,0xFf4eC2057A4180A4Cd18FDEA144e53245e39869D,0x7CB31e55f4DDeaB82F85c76D5ee4474582a38730,polygon,WWC,2022-08-16 14:30:00+00
90,2022-08-16 14:42:58.946+00,2022-08-16 14:50:00+00,2022-08-20 15:00:00+00,0xe8354425f3da2c6a4cC0295a5A10884B9Dc1797b,Meme Contest ,,0x71c199C366625329064df3d08191CDC0e85AC2eA,0xC05d16754639Bae83105A591A893DcD039dBF4b6,polygon,L3MEMETEST,2022-08-16 15:00:00+00
91,2022-08-16 21:20:07.737+00,2022-08-16 21:29:00+00,2022-08-18 21:19:00+00,0xeDC5a1D386E1aC56aa80cB0A541EC1Bb6095491f,test,,0x5b45e296C06ab3dAD836BCBc0fBd7a4b75b83C02,0xf3597FC2C2BA148f5DCdEA71606651682BD15FB4,polygon,jbx8-16th,2022-08-17 21:19:00+00
92,2022-08-16 21:26:59.309+00,2022-08-16 21:20:00+00,2022-08-16 21:46:00+00,0xE94CF9bc0084a5971c00dD995Dc68F480fA32FFD,test2,,0x5b45e296C06ab3dAD836BCBc0fBd7a4b75b83C02,0xf3597FC2C2BA148f5DCdEA71606651682BD15FB4,polygon,jbx8-16th,2022-08-16 21:30:00+00
93,2022-08-16 22:10:49.104+00,2022-08-16 22:00:00+00,2022-08-16 22:20:00+00,0xa0C344C10DA2736abCE854438a82931ea387585C,Juicebox Town Hall 8-16-22,,0xc109636a2b47f8b290cc134dd446Fcd7d7e0cC94,0xf3597FC2C2BA148f5DCdEA71606651682BD15FB4,polygon,jbx8-16th,2022-08-16 22:15:00+00
94,2022-08-18 00:02:33.133+00,2022-08-18 00:02:00+00,2022-08-18 11:55:00+00,0x645B86C58a449969Cc46531a4Bc9098B25c29586,ЯКА ПРОБЛЕМА ПОТРЕБУЄ ПЕРШОЧЕРГОВОГО ВИРІШЕННЯ?,,0x48bCbB128d94896573113dcf428E779014E864Cd,0x63182ce8Ac476c028B6a027f99047160FEfF4036,polygon,W3CK,2022-08-18 09:55:00+00
95,2022-08-18 02:16:53.982+00,2022-08-18 02:20:00+00,2022-08-18 02:30:00+00,0x93337D59C1019130E60F4e02C9535d32bB2DDea0,Demo Contest,,0x5952788924bF35B85d2BAA9509349baaF3159cD7,0xFD34B3c360Af5D37027B4489825Ef792C0C4d5BC,polygon,CT,2022-08-18 02:25:00+00
96,2022-08-18 06:10:32.13+00,2022-08-24 18:00:00+00,2022-09-07 18:00:00+00,0xaCc8544B4a980277ff1bAdd83ca3b48d48b4aC19,DAO Talk Podcast Guests,,0x226F6423E97BCD17548d7420BA9Ff7f300C2d74d,0xCaad94c6AcDb47375e9AE87309B9E1C751189e98,polygon,DAOTALK,2022-08-31 18:00:00+00
97,2022-08-18 13:42:46.832+00,2022-08-18 13:50:00+00,2022-08-19 16:30:00+00,0x0fda1e89f5242EEeAeC706e4F90009a4EC4EDCE1,jokerace 25: bankless edition,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0x25A72D61ED7f204C43cE998cDD940fd5BC542A2C,polygon,joke25,2022-08-19 16:00:00+00
98,2022-08-18 14:17:39.912+00,2022-08-18 14:20:00+00,2022-08-18 17:00:00+00,0x3582850a691554cBDaaF04b9ec674c690758A870,glf22 elevator music,,0x7B15427393A98A041D00b50254A0C7a6fDC79F4E,0xFF7D9BB590BDec51a1c168aDE47998d4e0a23b0F,polygon,glf,2022-08-18 16:00:00+00
99,2022-08-18 19:51:14.831+00,2022-08-20 20:00:00+00,2022-08-21 01:00:00+00,0x31911FFD8C2a25307C75712AeC8244547D15E383,FORMING VOL.2 - BEST DRESSED,,0xD30a79E487351Eb0064c8a78eb341DA364d78a9a,0xB141d63dAb624376e3d6720F79A11BCC18f44C4D,polygon,CARPET,2022-08-20 23:00:00+00
